name,platform,year_of_release,genre,sales
Tekken 5,PS2,2005,Fighting,0.93
Dragon Warrior III,NES,1988,Role-Playing,0.1
MotorStorm,PS3,2006,Racing,1.53
Nintendogs + cats,3DS,2011,Simulation,1.44
World Soccer Winning Eleven 8 International,PS2,2004,Sports,0.16
Sports Champions,PS3,2010,Sports,2.13
Namco Museum Vol.1,PS,1995,Misc,2.12
The Legend of Zelda: Link's Awakening,GB,1992,Action,2.21
Call of Duty: Ghosts,PS4,2013,Shooter,1.78
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,0.86
Tom Clancy's The Division,PS4,2016,Shooter,1.35
Big Brain Academy: Wii Degree,Wii,2007,Misc,1.05
Resident Evil Director's Cut,PS,1996,Action,1.82
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,2.23
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,2.4
The Sims: Unleashed,PC,2002,Simulation,2.03
Ratchet & Clank: Size Matters,PSP,2007,Platform,1.4
Harry Potter and the Sorcerer's Stone,PS,2001,Action,1.37
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,1.12
Resident Evil 3: Nemesis,PS,1999,Action,1.3
Super Paper Mario,Wii,2007,Platform,1.95
Spyro: Year of the Dragon,PS,2000,Platform,1.93
Assassin's Creed IV: Black Flag,PS3,2013,Action,1.33
FIFA Soccer 2005,PS2,2004,Sports,0.58
Pokémon Trading Card Game,GB,1998,Strategy,1.49
Friend Collection,DS,2009,Misc,0
Tony Hawk's Pro Skater 4,PS2,2002,Sports,2.13
Star Wars Battlefront (2015),XOne,2015,Shooter,2.04
MySims,DS,2007,Simulation,1.58
Midnight Club 3: DUB Edition,PSP,2005,Racing,1.65
Banjo-Kazooie,N64,1998,Platform,1.87
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,2.53
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,2.08
Pokemon Snap,N64,1999,Simulation,2.23
Pro Evolution Soccer 2008,PS2,2007,Sports,0.05
Resident Evil 4,PS2,2005,Action,2.08
Guitar Hero: World Tour,Wii,2008,Misc,2.32
FIFA Soccer 10,PS3,2009,Sports,0.6
Star Wars: Battlefront,PS2,2004,Shooter,1.93
Doom II: Hell on Earth,PC,1994,Shooter,2.05
The Simpsons: Road Rage,PS2,2001,Racing,2.02
Luigi's Mansion,GC,2001,Action,2.38
Battlefield 4,PS4,2013,Shooter,1.35
Star Wars: Battlefront II,PS2,2005,Shooter,2.18
Just Dance 2014,Wii,2013,Misc,1.88
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,1.6
WWF SmackDown!,PS,2000,Fighting,2.01
Croc: Legend of the Gobbos,PS,1997,Platform,1.57
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,1.56
The Getaway,PS2,2002,Action,1.23
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,1.66
James Bond 007: Agent Under Fire,PS2,2001,Shooter,1.9
LEGO Star Wars: The Video Game,PS2,2005,Action,1.98
Rugrats in Paris: The Movie,PS,2000,Action,1.96
FIFA Soccer 11,X360,2010,Sports,0.71
Spyro 2: Ripto's Rage!,PS,1999,Platform,2.14
Left 4 Dead,X360,2008,Shooter,2.66
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,1.17
Assassin's Creed: Unity,XOne,2014,Action,2.27
Kung Fu,NES,1985,Action,1.64
Resident Evil 5,X360,2009,Action,2.11
Assassin's Creed: Brotherhood,X360,2010,Action,2.85
FIFA Soccer 2004,PS2,,Sports,0.59
Battlefield 4,PS3,2013,Shooter,1.3
Batman: Arkham Asylum,X360,2009,Action,2.2
Battlefield 4,X360,2013,Shooter,2.15
Battlefield: Bad Company 2,X360,2010,Shooter,2.1
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,1.21
Guitar Hero: On Tour,DS,2008,Misc,2.1
Clubhouse Games,DS,2006,Misc,0.59
Monster Hunter 4,3DS,2013,Role-Playing,0
Borderlands,X360,2009,Shooter,2.4
Tekken 4,PS2,2002,Fighting,1.55
Final Fantasy III,SNES,1994,Role-Playing,0.86
Grand Theft Auto 2,PS,1998,Action,1.13
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,1.09
Spider-Man 2,PS2,2004,Action,1.75
F-1 Race,GB,1990,Racing,1.73
FIFA Soccer 2003,PS2,2002,Sports,0.46
LittleBigPlanet 2,PS3,2011,Platform,1.83
Crash Bash,PS,2000,Misc,1.56
Assassin's Creed Syndicate,PS4,2015,Action,0.81
LEGO Batman: The Videogame,X360,2008,Action,2.04
Destiny,XOne,2014,Shooter,2.14
WWF War Zone,PS,1998,Fighting,2.47
The Legend of Zelda: Majora's Mask,N64,2000,Action,1.9
Far Cry 3,PS3,2012,Shooter,0.88
Rugrats: Search For Reptar,PS,1998,Adventure,1.63
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,0
James Bond 007: Nightfire,PS2,2002,Shooter,1.45
Ratchet & Clank,PS2,2002,Platform,1.44
Monster Hunter X,3DS,2015,Action,0.27
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,1.47
